impid,aid,name
3063,Kenan Thompson,Greg Gumbel
3548,Beck Bennett,Harry Connick Jr.
3553,Taran Killam,Adam Levine
3534,Kate McKinnon,Keith Urban
3551,Kyle Mooney,Steven Tyler
3550,Jay Pharoah,Pharrell Williams
3549,Cecily Strong,Christina Aguilera
3552,Sasheer Zamata,Nicki Minaj
3284,Kenan Thompson,Martin Luther King Jr.
3544,Cecily Strong,Lara Stone
3545,Kevin Hart,James Brown (I)
3516,Taran Killam,Sam Smith
3536,Kate McKinnon,Dana Chivvis
3537,Fred Armisen,Raúl Castro
3538,Beck Bennett,Fidel Castro
3542,Pete Davidson,Elian Gonzalez
3543,Taran Killam,Pitbull
3540,Kate McKinnon,Diana Nyad
2950,Bobby Moynihan,Jorge Garcia
3539,Cecily Strong,Gloria Estefan
3541,Kenan Thompson,Cuba Gooding Jr.
3531,Taran Killam,Charlie Rose
3530,Kyle Mooney,Bruce Jessen
3529,Bobby Moynihan,James Mitchell
3533,Taran Killam,Alan Rickman
3520,James Franco,Christopher Walken
3521,Cecily Strong,Allison Williams
3522,James Franco,Riff Raff
3523,Nicki Minaj,Beyoncé
3050,Taran Killam,Eminem
3524,Nicki Minaj,Kim Kardashian
3525,Beck Bennett,Ashley Parker Angel
3528,Taran Killam,Darren Hayes
3527,Kyle Mooney,Chris Kirkpatrick
3526,Bobby Moynihan,Lance Ito
2942,Jay Pharoah,Will Smith
