sid,eid,tid,title,titleType
10,5,1984111014,International Star Health,Commercial
10,5,1984111013,Alan Thicke's In Thickeness And In Health,Show
10,5,1984111011,"""Two Tribes""",Musical Performance
10,5,198411109,The Ghostbuster Show,Show
10,5,1984111012,Ted's Book Of World Records,Commercial
10,5,1984111010,,Saturday Night News
10,5,198411108,Ye Olde Comedy Shoppe,Sketch
10,5,198411107,Strategic Airborne Contraceptive,Commercial
10,5,198411106,Rich Hall's Election Report,Miscellaneous
10,5,198411105,The Joe Franklin Show,Show
10,5,198411103,Night Watch,Sketch
10,5,198411102,,Monologue
10,6,1984111714,Old Peter Pan,Sketch
10,6,1984111713,"""Word of Mouth""",Musical Performance
10,5,198411104,Profiles In Sports,Show
10,5,198411101,Mondale Impression,Cold Opening
10,6,1984111712,National Adopt A Non-Smoker Day,Commercial
10,6,1984111711,You Can't Put Too Much,Sketch
10,6,198411178,Tippi Turtle,Cartoon
10,6,1984111710,"""Do It Again""",Musical Performance
10,6,198411179,,Saturday Night News
10,6,198411177,Bowling Alley,Sketch
10,6,198411175,60 Minutes,Show
10,6,198411173,Walking After Midnight,Film
10,6,198411174,Thanksgiving,Sketch
10,6,198411176,Me and Julio,Commercial
10,6,198411172,,Monologue
10,7,1984120116,Elevator Stool,Sketch
10,7,1984120115,"""All Night Long""",Musical Performance
10,6,198411171,Syndication,Cold Opening
10,7,1984120114,Eyeball To Eyeball,Show
10,7,1984120113,Vaudeville Funeral,Sketch
10,7,1984120112,"""Rock Me Tonight""",Musical Performance
10,7,1984120111,,Saturday Night News
10,7,198412018,Refrigerator Magnet Safety Advisory Board,Commercial
10,7,1984120110,Marty,Sketch
10,7,198412017,Seventh Wedge,Sketch
10,7,198412016,Time Traveler,Miscellaneous
10,7,198412015,Book Beat,Show
10,7,198412013,Kate & Ali,Commercial
10,7,198412019,Let's Watch T.V.,Show
10,7,198412014,Strategic Airborne Contraceptive,Commercial
10,8,1984120810,"""Junku""",Musical Performance
10,7,198412012,,Monologue
10,7,198412011,Adopted Son,Cold Opening
10,8,1984120814,,Goodnights
10,8,1984120813,"""Rockit""",Musical Performance
10,8,1984120812,Job Interview,Sketch
10,8,1984120811,Fernando's Hideaway,Show
10,8,198412089,Reverse Psychology,Sketch
10,8,198412084,Texxon,Commercial
10,8,198412088,Massacre On 34th Street,Commercial
10,8,198412087,Strictly From Blackwell,Show
10,8,198412086,Ringo's Buyers,Sketch
10,8,198412085,Lunch Break,Sketch
10,8,198412083,Unlucky Man,Sketch
10,8,198412081,Beatle Memorabilia Auction,Cold Opening
10,8,198412082,,Monologue
10,9,1984121514,"""Santa Claus is Back in Town""",Musical Performance
10,9,1984121511,Black History Minute,Miscellaneous
10,9,1984121510,Newsmakers,Show
10,9,1984121513,,Saturday Night News
10,9,1984121512,Climbing The Stairs,Sketch
10,9,198412158,"""Rockin' at Midnight""",Musical Performance
10,9,198412156,Lifestyles of The Relatives of The Rich and Famous,Show
10,9,198412151,Buckwheat Lives!,Cold Opening
10,9,198412153,White Like Me,Film
10,10,1985011214,Strictly From Blackwell,Show
10,9,198412152,,Monologue
10,10,1985011215,Killing Time,Miscellaneous
10,10,1985011213,"""Saturday Night""",Musical Performance
10,10,198501127,Hypnotism by Fire,Sketch
